Port,Service,Description
33003,,Unassigned
33004,,Unassigned
33005,,Unassigned
33006,,Unassigned
33007,,Unassigned
33008,,Unassigned
33009,,Unassigned
33010,,Unassigned
33011,,Unassigned
33012,,Unassigned
33013,,Unassigned
33014,,Unassigned
33015,,Unassigned
33016,,Unassigned
33017,,Unassigned
33018,,Unassigned
33019,,Unassigned
33020,,Unassigned
33021,,Unassigned
33022,,Unassigned
33023,,Unassigned
33024,,Unassigned
33025,,Unassigned
33026,,Unassigned
33027,,Unassigned
33028,,Unassigned
33029,,Unassigned
33030,,Unassigned
33031,,Unassigned
33032,,Unassigned
33033,,Unassigned
33034,,Unassigned
33035,,Unassigned
33036,,Unassigned
33037,,Unassigned
33038,,Unassigned
33039,,Unassigned
33040,,Unassigned
33041,,Unassigned
33042,,Unassigned
33043,,Unassigned
33044,,Unassigned
33045,,Unassigned
33046,,Unassigned
33047,,Unassigned
33048,,Unassigned
33049,,Unassigned
33050,,Unassigned
33051,,Unassigned
33052,,Unassigned
33053,,Unassigned
33054,,Unassigned
33055,,Unassigned
33056,,Unassigned
33057,,Unassigned
33058,,Unassigned
33059,,Unassigned
33060,,Reserved
33061,,Unassigned
33062,,Unassigned
33063,,Unassigned
33064,,Unassigned
33065,,Unassigned
33066,,Unassigned
33067,,Unassigned
33068,,Unassigned
33069,,Unassigned
33070,,Unassigned
33071,,Unassigned
33072,,Unassigned
33073,,Unassigned
33074,,Unassigned
33075,,Unassigned
33076,,Unassigned
33077,,Unassigned
33078,,Unassigned
33079,,Unassigned
33080,,Unassigned
33081,,Unassigned
33082,,Unassigned
33083,,Unassigned
33084,,Unassigned
33085,,Unassigned
33086,,Unassigned
33087,,Unassigned
33088,,Unassigned
33089,,Unassigned
33090,,Unassigned
33091,,Unassigned
33092,,Unassigned
33093,,Unassigned
33094,,Unassigned
33095,,Unassigned
33096,,Unassigned
33097,,Unassigned
33098,,Unassigned
33099,,Unassigned
33100,,Unassigned
33101,,Unassigned
33102,,Unassigned
33103,,Unassigned
33104,,Unassigned
33105,,Unassigned
33106,,Unassigned
33107,,Unassigned
33108,,Unassigned
33109,,Unassigned
33110,,Unassigned
33111,,Unassigned
33112,,Unassigned
33113,,Unassigned
33114,,Unassigned
33115,,Unassigned
33116,,Unassigned
33117,,Unassigned
33118,,Unassigned
33119,,Unassigned
33120,,Unassigned
33121,,Unassigned
33122,,Unassigned
33123,aurora-balaena,Aurora (Balaena Ltd)
33124,,Unassigned
33125,,Unassigned
33126,,Unassigned
33127,,Unassigned
33128,,Unassigned
33129,,Unassigned
33130,,Unassigned
33131,,Unassigned
33132,,Unassigned
33133,,Unassigned
33134,,Unassigned
33135,,Unassigned
33136,,Unassigned
33137,,Unassigned
33138,,Unassigned
33139,,Unassigned
33140,,Unassigned
33141,,Unassigned
33142,,Unassigned
33143,,Unassigned
33144,,Unassigned
33145,,Unassigned
33146,,Unassigned
33147,,Unassigned
33148,,Unassigned
33149,,Unassigned
33150,,Unassigned
33151,,Unassigned
33152,,Unassigned
33153,,Unassigned
33154,,Unassigned
33155,,Unassigned
33156,,Unassigned
33157,,Unassigned
33158,,Unassigned
33159,,Unassigned
33160,,Unassigned
33161,,Unassigned
33162,,Unassigned
33163,,Unassigned
33164,,Unassigned
33165,,Unassigned
33166,,Unassigned
33167,,Unassigned
33168,,Unassigned
33169,,Unassigned
33170,,Unassigned
33171,,Unassigned
33172,,Unassigned
33173,,Unassigned
33174,,Unassigned
33175,,Unassigned
33176,,Unassigned
33177,,Unassigned
33178,,Unassigned
33179,,Unassigned
33180,,Unassigned
33181,,Unassigned
33182,,Unassigned
33183,,Unassigned
33184,,Unassigned
33185,,Unassigned
33186,,Unassigned
33187,,Unassigned
33188,,Unassigned
33189,,Unassigned
33190,,Unassigned
33191,,Unassigned
33192,,Unassigned
33193,,Unassigned
33194,,Unassigned
33195,,Unassigned
33196,,Unassigned
33197,,Unassigned
33198,,Unassigned
33199,,Unassigned
33200,,Unassigned
33201,,Unassigned
33202,,Unassigned
33203,,Unassigned
33204,,Unassigned
33205,,Unassigned
33206,,Unassigned
33207,,Unassigned
33208,,Unassigned
33209,,Unassigned
33210,,Unassigned
33211,,Unassigned
33212,,Unassigned
33213,,Unassigned
33214,,Unassigned
33215,,Unassigned
33216,,Unassigned
33217,,Unassigned
33218,,Unassigned
33219,,Unassigned
33220,,Unassigned
33221,,Unassigned
33222,,Unassigned
33223,,Unassigned
33224,,Unassigned
33225,,Unassigned
33226,,Unassigned
33227,,Unassigned
33228,,Unassigned
33229,,Unassigned
33230,,Unassigned
33231,,Unassigned
33232,,Unassigned
33233,,Unassigned
33234,,Unassigned
33235,,Unassigned
33236,,Unassigned
33237,,Unassigned
33238,,Unassigned
33239,,Unassigned
33240,,Unassigned
33241,,Unassigned
33242,,Unassigned
33243,,Unassigned
33244,,Unassigned
33245,,Unassigned
33246,,Unassigned
33247,,Unassigned
33248,,Unassigned
33249,,Unassigned
33250,,Unassigned
33251,,Unassigned
33252,,Unassigned
33253,,Unassigned
33254,,Unassigned
33255,,Unassigned
33256,,Unassigned
33257,,Unassigned
33258,,Unassigned
33259,,Unassigned
33260,,Unassigned
33261,,Unassigned
33262,,Unassigned
33263,,Unassigned
33264,,Unassigned
33265,,Unassigned
33266,,Unassigned
33267,,Unassigned
33268,,Unassigned
33269,,Unassigned
33270,,Unassigned
33271,,Unassigned
33272,,Unassigned
33273,,Unassigned
33274,,Unassigned
33275,,Unassigned
33276,,Unassigned
33277,,Unassigned
33278,,Unassigned
33279,,Unassigned
33280,,Unassigned
33281,,Unassigned
33282,,Unassigned
33283,,Unassigned
33284,,Unassigned
33285,,Unassigned
33286,,Unassigned
33287,,Unassigned
33288,,Unassigned
33289,,Unassigned
33290,,Unassigned
33291,,Unassigned
33292,,Unassigned
33293,,Unassigned
33294,,Unassigned
33295,,Unassigned
33296,,Unassigned
33297,,Unassigned
33298,,Unassigned
33299,,Unassigned
33300,,Unassigned
33301,,Unassigned
33302,,Unassigned
33303,,Unassigned
33304,,Unassigned
33305,,Unassigned
33306,,Unassigned
33307,,Unassigned
33308,,Unassigned
33309,,Unassigned
33310,,Unassigned
33311,,Unassigned
33312,,Unassigned
33313,,Unassigned
33314,,Unassigned
33315,,Unassigned
33316,,Unassigned
33317,,Unassigned
33318,,Unassigned
33319,,Unassigned
33320,,Unassigned
33321,,Unassigned
33322,,Unassigned
33323,,Unassigned
33324,,Unassigned
33325,,Unassigned
33326,,Unassigned
33327,,Unassigned
33328,,Unassigned
33329,,Unassigned
33330,,Unassigned
33331,diamondport,DiamondCentral Interface
33332,,Unassigned
33333,,Reserved
33334,speedtrace-disc,SpeedTrace TraceAgent Discovery
33335,,Unassigned
33336,,Unassigned
33337,,Unassigned
33338,,Unassigned
33339,,Unassigned
33340,,Unassigned
33341,,Unassigned
33342,,Unassigned
33343,,Unassigned
33344,,Unassigned
33345,,Unassigned
33346,,Unassigned
33347,,Unassigned
33348,,Unassigned
33349,,Unassigned
33350,,Unassigned
33351,,Unassigned
33352,,Unassigned
33353,,Unassigned
33354,,Unassigned
33355,,Unassigned
33356,,Unassigned
33357,,Unassigned
33358,,Unassigned
33359,,Unassigned
33360,,Unassigned
33361,,Unassigned
33362,,Unassigned
33363,,Unassigned
33364,,Unassigned
33365,,Unassigned
33366,,Unassigned
33367,,Unassigned
33368,,Unassigned
33369,,Unassigned
33370,,Unassigned
33371,,Unassigned
33372,,Unassigned
33373,,Unassigned
33374,,Unassigned
33375,,Unassigned
33376,,Unassigned
33377,,Unassigned
33378,,Unassigned
33379,,Unassigned
33380,,Unassigned
33381,,Unassigned
33382,,Unassigned
33383,,Unassigned
33384,,Unassigned
33385,,Unassigned
33386,,Unassigned
33387,,Unassigned
33388,,Unassigned
33389,,Unassigned
33390,,Unassigned
33391,,Unassigned
33392,,Unassigned
33393,,Unassigned
33394,,Unassigned
33395,,Unassigned
33396,,Unassigned
33397,,Unassigned
33398,,Unassigned
33399,,Unassigned
33400,,Unassigned
33401,,Unassigned
33402,,Unassigned
33403,,Unassigned
33404,,Unassigned
33405,,Unassigned
33406,,Unassigned
33407,,Unassigned
33408,,Unassigned
33409,,Unassigned
33410,,Unassigned
33411,,Unassigned
33412,,Unassigned
33413,,Unassigned
33414,,Unassigned
33415,,Unassigned
33416,,Unassigned
33417,,Unassigned
33418,,Unassigned
33419,,Unassigned
33420,,Unassigned
33421,,Unassigned
33422,,Unassigned
33423,,Unassigned
33424,,Unassigned
33425,,Unassigned
33426,,Unassigned
33427,,Unassigned
33428,,Unassigned
33429,,Unassigned
33430,,Unassigned
33431,,Unassigned
33432,,Unassigned
33433,,Unassigned
33434,traceroute,traceroute use
33435,mtrace,IP Multicast Traceroute
33436,,Unassigned
33437,,Unassigned
33438,,Unassigned
33439,,Unassigned
33440,,Unassigned
33441,,Unassigned
33442,,Unassigned
33443,,Unassigned
33444,,Unassigned
33445,,Unassigned
33446,,Unassigned
33447,,Unassigned
33448,,Unassigned
33449,,Unassigned
33450,,Unassigned
33451,,Unassigned
33452,,Unassigned
33453,,Unassigned
33454,,Unassigned
33455,,Unassigned
33456,,Unassigned
33457,,Unassigned
33458,,Unassigned
33459,,Unassigned
33460,,Unassigned
33461,,Unassigned
33462,,Unassigned
33463,,Unassigned
33464,,Unassigned
33465,,Unassigned
33466,,Unassigned
33467,,Unassigned
33468,,Unassigned
33469,,Unassigned
33470,,Unassigned
33471,,Unassigned
33472,,Unassigned
33473,,Unassigned
33474,,Unassigned
33475,,Unassigned
33476,,Unassigned
33477,,Unassigned
33478,,Unassigned
33479,,Unassigned
33480,,Unassigned
33481,,Unassigned
33482,,Unassigned
33483,,Unassigned
33484,,Unassigned
33485,,Unassigned
33486,,Unassigned
33487,,Unassigned
33488,,Unassigned
33489,,Unassigned
33490,,Unassigned
33491,,Unassigned
33492,,Unassigned
33493,,Unassigned
33494,,Unassigned
33495,,Unassigned
33496,,Unassigned
33497,,Unassigned
33498,,Unassigned
33499,,Unassigned
33500,,Unassigned
33501,,Unassigned
33502,,Unassigned
33503,,Unassigned
33504,,Unassigned
33505,,Unassigned
33506,,Unassigned
33507,,Unassigned
33508,,Unassigned
33509,,Unassigned
33510,,Unassigned
33511,,Unassigned
33512,,Unassigned
33513,,Unassigned
33514,,Unassigned
33515,,Unassigned
33516,,Unassigned
33517,,Unassigned
33518,,Unassigned
33519,,Unassigned
33520,,Unassigned
33521,,Unassigned
33522,,Unassigned
33523,,Unassigned
33524,,Unassigned
33525,,Unassigned
33526,,Unassigned
33527,,Unassigned
33528,,Unassigned
33529,,Unassigned
33530,,Unassigned
33531,,Unassigned
33532,,Unassigned
33533,,Unassigned
33534,,Unassigned
33535,,Unassigned
33536,,Unassigned
33537,,Unassigned
33538,,Unassigned
33539,,Unassigned
33540,,Unassigned
33541,,Unassigned
33542,,Unassigned
33543,,Unassigned
33544,,Unassigned
33545,,Unassigned
33546,,Unassigned
33547,,Unassigned
33548,,Unassigned
33549,,Unassigned
33550,,Unassigned
33551,,Unassigned
33552,,Unassigned
33553,,Unassigned
33554,,Unassigned
33555,,Unassigned
33556,,Unassigned
33557,,Unassigned
33558,,Unassigned
33559,,Unassigned
33560,,Unassigned
33561,,Unassigned
33562,,Unassigned
33563,,Unassigned
33564,,Unassigned
33565,,Unassigned
33566,,Unassigned
33567,,Unassigned
33568,,Unassigned
33569,,Unassigned
33570,,Unassigned
33571,,Unassigned
33572,,Unassigned
33573,,Unassigned
33574,,Unassigned
33575,,Unassigned
33576,,Unassigned
33577,,Unassigned
33578,,Unassigned
33579,,Unassigned
33580,,Unassigned
33581,,Unassigned
33582,,Unassigned
33583,,Unassigned
33584,,Unassigned
33585,,Unassigned
33586,,Unassigned
33587,,Unassigned
33588,,Unassigned
33589,,Unassigned
33590,,Unassigned
33591,,Unassigned
33592,,Unassigned
33593,,Unassigned
33594,,Unassigned
33595,,Unassigned
33596,,Unassigned
33597,,Unassigned
33598,,Unassigned
33599,,Unassigned
33600,,Unassigned
33601,,Unassigned
33602,,Unassigned
33603,,Unassigned
33604,,Unassigned
33605,,Unassigned
33606,,Unassigned
33607,,Unassigned
33608,,Unassigned
33609,,Unassigned
33610,,Unassigned
33611,,Unassigned
33612,,Unassigned
33613,,Unassigned
33614,,Unassigned
33615,,Unassigned
33616,,Unassigned
33617,,Unassigned
33618,,Unassigned
33619,,Unassigned
33620,,Unassigned
33621,,Unassigned
33622,,Unassigned
33623,,Unassigned
33624,,Unassigned
33625,,Unassigned
33626,,Unassigned
33627,,Unassigned
33628,,Unassigned
33629,,Unassigned
33630,,Unassigned
33631,,Unassigned
33632,,Unassigned
33633,,Unassigned
33634,,Unassigned
33635,,Unassigned
33636,,Unassigned
33637,,Unassigned
33638,,Unassigned
33639,,Unassigned
33640,,Unassigned
33641,,Unassigned
33642,,Unassigned
33643,,Unassigned
33644,,Unassigned
33645,,Unassigned
33646,,Unassigned
33647,,Unassigned
33648,,Unassigned
33649,,Unassigned
33650,,Unassigned
33651,,Unassigned
33652,,Unassigned
33653,,Unassigned
33654,,Unassigned
33655,,Unassigned
33656,snip-slave,SNIP Slave
33657,,Unassigned
33658,,Unassigned
33659,,Unassigned
33660,,Unassigned
33661,,Unassigned
33662,,Unassigned
33663,,Unassigned
33664,,Unassigned
33665,,Unassigned
33666,,Unassigned
33667,,Unassigned
33668,,Unassigned
33669,,Unassigned
33670,,Unassigned
33671,,Unassigned
33672,,Unassigned
33673,,Unassigned
33674,,Unassigned
33675,,Unassigned
33676,,Unassigned
33677,,Unassigned
33678,,Unassigned
33679,,Unassigned
33680,,Unassigned
33681,,Unassigned
33682,,Unassigned
33683,,Unassigned
33684,,Unassigned
33685,,Unassigned
33686,,Unassigned
33687,,Unassigned
33688,,Unassigned
33689,,Unassigned
33690,,Unassigned
33691,,Unassigned
33692,,Unassigned
33693,,Unassigned
33694,,Unassigned
33695,,Unassigned
33696,,Unassigned
33697,,Unassigned
33698,,Unassigned
33699,,Unassigned
33700,,Unassigned
33701,,Unassigned
33702,,Unassigned
33703,,Unassigned
33704,,Unassigned
33705,,Unassigned
33706,,Unassigned
33707,,Unassigned
33708,,Unassigned
33709,,Unassigned
33710,,Unassigned
33711,,Unassigned
33712,,Unassigned
33713,,Unassigned
33714,,Unassigned
33715,,Unassigned
33716,,Unassigned
33717,,Unassigned
33718,,Unassigned
33719,,Unassigned
33720,,Unassigned
33721,,Unassigned
33722,,Unassigned
33723,,Unassigned
33724,,Unassigned
33725,,Unassigned
33726,,Unassigned
33727,,Unassigned
33728,,Unassigned
33729,,Unassigned
33730,,Unassigned
33731,,Unassigned
33732,,Unassigned
33733,,Unassigned
33734,,Unassigned
33735,,Unassigned
33736,,Unassigned
33737,,Unassigned
33738,,Unassigned
33739,,Unassigned
33740,,Unassigned
33741,,Unassigned
33742,,Unassigned
33743,,Unassigned
33744,,Unassigned
33745,,Unassigned
33746,,Unassigned
33747,,Unassigned
33748,,Unassigned
33749,,Unassigned
33750,,Unassigned
33751,,Unassigned
33752,,Unassigned
33753,,Unassigned
33754,,Unassigned
33755,,Unassigned
33756,,Unassigned
33757,,Unassigned
33758,,Unassigned
33759,,Unassigned
33760,,Unassigned
33761,,Unassigned
33762,,Unassigned
33763,,Unassigned
33764,,Unassigned
33765,,Unassigned
33766,,Unassigned
33767,,Unassigned
33768,,Unassigned
33769,,Unassigned
33770,,Unassigned
33771,,Unassigned
33772,,Unassigned
33773,,Unassigned
33774,,Unassigned
33775,,Unassigned
33776,,Unassigned
33777,,Unassigned
33778,,Unassigned
33779,,Unassigned
33780,,Unassigned
33781,,Unassigned
33782,,Unassigned
33783,,Unassigned
33784,,Unassigned
33785,,Unassigned
33786,,Unassigned
33787,,Unassigned
33788,,Unassigned
33789,,Unassigned
33790,,Unassigned
33791,,Unassigned
33792,,Unassigned
33793,,Unassigned
33794,,Unassigned
33795,,Unassigned
33796,,Unassigned
33797,,Unassigned
33798,,Unassigned
33799,,Unassigned
33800,,Unassigned
33801,,Unassigned
33802,,Unassigned
33803,,Unassigned
33804,,Unassigned
33805,,Unassigned
33806,,Unassigned
33807,,Unassigned
33808,,Unassigned
33809,,Unassigned
33810,,Unassigned
33811,,Unassigned
33812,,Unassigned
33813,,Unassigned
33814,,Unassigned
33815,,Unassigned
33816,,Unassigned
33817,,Unassigned
33818,,Unassigned
33819,,Unassigned
33820,,Unassigned
33821,,Unassigned
33822,,Unassigned
33823,,Unassigned
33824,,Unassigned
33825,,Unassigned
33826,,Unassigned
33827,,Unassigned
33828,,Unassigned
33829,,Unassigned
33830,,Unassigned
33831,,Unassigned
33832,,Unassigned
33833,,Unassigned
33834,,Unassigned
33835,,Unassigned
33836,,Unassigned
33837,,Unassigned
33838,,Unassigned
33839,,Unassigned
33840,,Unassigned
33841,,Unassigned
33842,,Unassigned
33843,,Unassigned
33844,,Unassigned
33845,,Unassigned
33846,,Unassigned
33847,,Unassigned
33848,,Unassigned
33849,,Unassigned
33850,,Unassigned
33851,,Unassigned
33852,,Unassigned
33853,,Unassigned
33854,,Unassigned
33855,,Unassigned
33856,,Unassigned
33857,,Unassigned
33858,,Unassigned
33859,,Unassigned
33860,,Unassigned
33861,,Unassigned
33862,,Unassigned
33863,,Unassigned
33864,,Unassigned
33865,,Unassigned
33866,,Unassigned
33867,,Unassigned
33868,,Unassigned
33869,,Unassigned
33870,,Unassigned
33871,,Unassigned
33872,,Unassigned
33873,,Unassigned
33874,,Unassigned
33875,,Unassigned
33876,,Unassigned
33877,,Unassigned
33878,,Unassigned
33879,,Unassigned
33880,,Unassigned
33881,,Unassigned
33882,,Unassigned
33883,,Unassigned
33884,,Unassigned
33885,,Unassigned
33886,,Unassigned
33887,,Unassigned
33888,,Unassigned
33889,,Unassigned
33890,,Unassigned
33891,,Unassigned
33892,,Unassigned
33893,,Unassigned
33894,,Unassigned
33895,,Unassigned
33896,,Unassigned
33897,,Unassigned
33898,,Unassigned
33899,,Unassigned
33900,,Unassigned
33901,,Unassigned
33902,,Unassigned
33903,,Unassigned
33904,,Unassigned
33905,,Unassigned
33906,,Unassigned
33907,,Unassigned
33908,,Unassigned
33909,,Unassigned
33910,,Unassigned
33911,,Unassigned
33912,,Unassigned
33913,,Unassigned
33914,,Unassigned
33915,,Unassigned
33916,,Unassigned
33917,,Unassigned
33918,,Unassigned
33919,,Unassigned
33920,,Unassigned
33921,,Unassigned
33922,,Unassigned
33923,,Unassigned
33924,,Unassigned
33925,,Unassigned
33926,,Unassigned
33927,,Unassigned
33928,,Unassigned
33929,,Unassigned
33930,,Unassigned
33931,,Unassigned
33932,,Unassigned
33933,,Unassigned
33934,,Unassigned
33935,,Unassigned
33936,,Unassigned
33937,,Unassigned
33938,,Unassigned
33939,,Unassigned
33940,,Unassigned
33941,,Unassigned
33942,,Unassigned
33943,,Unassigned
33944,,Unassigned
33945,,Unassigned
33946,,Unassigned
33947,,Unassigned
33948,,Unassigned
33949,,Unassigned
33950,,Unassigned
33951,,Unassigned
33952,,Unassigned
33953,,Unassigned
33954,,Unassigned
33955,,Unassigned
33956,,Unassigned
33957,,Unassigned
33958,,Unassigned
33959,,Unassigned
33960,,Unassigned
33961,,Unassigned
33962,,Unassigned
33963,,Unassigned
33964,,Unassigned
33965,,Unassigned
33966,,Unassigned
33967,,Unassigned
33968,,Unassigned
33969,,Unassigned
33970,,Unassigned
33971,,Unassigned
33972,,Unassigned
33973,,Unassigned
33974,,Unassigned
33975,,Unassigned
33976,,Unassigned
33977,,Unassigned
33978,,Unassigned
33979,,Unassigned
33980,,Unassigned
33981,,Unassigned
33982,,Unassigned
33983,,Unassigned
33984,,Unassigned
33985,,Unassigned
33986,,Unassigned
33987,,Unassigned
33988,,Unassigned
33989,,Unassigned
33990,,Unassigned
33991,,Unassigned
33992,,Unassigned
33993,,Unassigned
33994,,Unassigned
33995,,Unassigned
33996,,Unassigned
33997,,Unassigned
33998,,Unassigned
33999,,Unassigned
34000,,Unassigned
34001,,Unassigned
34002,,Unassigned
34003,,Unassigned
34004,,Unassigned
34005,,Unassigned
34006,,Unassigned
34007,,Unassigned
34008,,Unassigned
34009,,Unassigned
34010,,Unassigned
34011,,Unassigned
34012,,Unassigned
34013,,Unassigned
34014,,Unassigned
34015,,Unassigned
34016,,Unassigned
34017,,Unassigned
34018,,Unassigned
34019,,Unassigned
34020,,Unassigned
34021,,Unassigned
34022,,Unassigned
34023,,Unassigned
34024,,Unassigned
34025,,Unassigned
34026,,Unassigned
34027,,Unassigned
34028,,Unassigned
34029,,Unassigned
34030,,Unassigned
34031,,Unassigned
34032,,Unassigned
34033,,Unassigned
34034,,Unassigned
34035,,Unassigned
34036,,Unassigned
34037,,Unassigned
34038,,Unassigned
34039,,Unassigned
34040,,Unassigned
34041,,Unassigned
34042,,Unassigned
34043,,Unassigned
34044,,Unassigned
34045,,Unassigned
34046,,Unassigned
34047,,Unassigned
34048,,Unassigned
34049,,Unassigned
34050,,Unassigned
34051,,Unassigned
34052,,Unassigned
34053,,Unassigned
34054,,Unassigned
34055,,Unassigned
34056,,Unassigned
34057,,Unassigned
34058,,Unassigned
34059,,Unassigned
34060,,Unassigned
34061,,Unassigned
34062,,Unassigned
34063,,Unassigned
34064,,Unassigned
34065,,Unassigned
34066,,Unassigned
34067,,Unassigned
34068,,Unassigned
34069,,Unassigned
34070,,Unassigned
34071,,Unassigned
34072,,Unassigned
34073,,Unassigned
34074,,Unassigned
34075,,Unassigned
34076,,Unassigned
34077,,Unassigned
34078,,Unassigned
34079,,Unassigned
34080,,Unassigned
34081,,Unassigned
34082,,Unassigned
34083,,Unassigned
34084,,Unassigned
34085,,Unassigned
34086,,Unassigned
34087,,Unassigned
34088,,Unassigned
34089,,Unassigned
34090,,Unassigned
34091,,Unassigned
34092,,Unassigned
34093,,Unassigned
34094,,Unassigned
34095,,Unassigned
34096,,Unassigned
34097,,Unassigned
34098,,Unassigned
34099,,Unassigned
34100,,Unassigned
34101,,Unassigned
34102,,Unassigned
34103,,Unassigned
34104,,Unassigned
34105,,Unassigned
34106,,Unassigned
34107,,Unassigned
34108,,Unassigned
34109,,Unassigned
34110,,Unassigned
34111,,Unassigned
34112,,Unassigned
34113,,Unassigned
34114,,Unassigned
34115,,Unassigned
34116,,Unassigned
34117,,Unassigned
34118,,Unassigned
34119,,Unassigned
34120,,Unassigned
34121,,Unassigned
34122,,Unassigned
34123,,Unassigned
34124,,Unassigned
34125,,Unassigned
34126,,Unassigned
34127,,Unassigned
34128,,Unassigned
34129,,Unassigned
34130,,Unassigned
34131,,Unassigned
34132,,Unassigned
34133,,Unassigned
34134,,Unassigned
34135,,Unassigned
34136,,Unassigned
34137,,Unassigned
34138,,Unassigned
34139,,Unassigned
34140,,Unassigned
34141,,Unassigned
34142,,Unassigned
34143,,Unassigned
34144,,Unassigned
34145,,Unassigned
34146,,Unassigned
34147,,Unassigned
34148,,Unassigned
34149,,Unassigned
34150,,Unassigned
34151,,Unassigned
34152,,Unassigned
34153,,Unassigned
34154,,Unassigned
34155,,Unassigned
34156,,Unassigned
34157,,Unassigned
34158,,Unassigned
34159,,Unassigned
34160,,Unassigned
34161,,Unassigned
34162,,Unassigned
34163,,Unassigned
34164,,Unassigned
34165,,Unassigned
34166,,Unassigned
34167,,Unassigned
34168,,Unassigned
34169,,Unassigned
34170,,Unassigned
34171,,Unassigned
34172,,Unassigned
34173,,Unassigned
34174,,Unassigned
34175,,Unassigned
34176,,Unassigned
34177,,Unassigned
34178,,Unassigned
34179,,Unassigned
34180,,Unassigned
34181,,Unassigned
34182,,Unassigned
34183,,Unassigned
34184,,Unassigned
34185,,Unassigned
34186,,Unassigned
34187,,Unassigned
34188,,Unassigned
34189,,Unassigned
34190,,Unassigned
34191,,Unassigned
34192,,Unassigned
34193,,Unassigned
34194,,Unassigned
34195,,Unassigned
34196,,Unassigned
34197,,Unassigned
34198,,Unassigned
34199,,Unassigned
34200,,Unassigned
34201,,Unassigned
34202,,Unassigned
34203,,Unassigned
34204,,Unassigned
34205,,Unassigned
34206,,Unassigned
34207,,Unassigned
34208,,Unassigned
34209,,Unassigned
34210,,Unassigned
34211,,Unassigned
34212,,Unassigned
34213,,Unassigned
34214,,Unassigned
34215,,Unassigned
34216,,Unassigned
34217,,Unassigned
34218,,Unassigned
34219,,Unassigned
34220,,Unassigned
34221,,Unassigned
34222,,Unassigned
34223,,Unassigned
34224,,Unassigned
34225,,Unassigned
34226,,Unassigned
34227,,Unassigned
34228,,Unassigned
34229,,Unassigned
34230,,Unassigned
34231,,Unassigned
34232,,Unassigned
34233,,Unassigned
34234,,Unassigned
34235,,Unassigned
34236,,Unassigned
34237,,Unassigned
34238,,Unassigned
34239,,Unassigned
34240,,Unassigned
34241,,Unassigned
34242,,Unassigned
34243,,Unassigned
34244,,Unassigned
34245,,Unassigned
34246,,Unassigned
34247,,Unassigned
34248,,Unassigned
34249,turbonote-2,TurboNote Relay Server Default Port
34250,,Unassigned
34251,,Unassigned
34252,,Unassigned
34253,,Unassigned
34254,,Unassigned
34255,,Unassigned
34256,,Unassigned
34257,,Unassigned
34258,,Unassigned
34259,,Unassigned
34260,,Unassigned
34261,,Unassigned
34262,,Unassigned
34263,,Unassigned
34264,,Unassigned
34265,,Unassigned
34266,,Unassigned
34267,,Unassigned
34268,,Unassigned
34269,,Unassigned
34270,,Unassigned
34271,,Unassigned
34272,,Unassigned
34273,,Unassigned
34274,,Unassigned
34275,,Unassigned
34276,,Unassigned
34277,,Unassigned
34278,,Unassigned
34279,,Unassigned
34280,,Unassigned
34281,,Unassigned
34282,,Unassigned
34283,,Unassigned
34284,,Unassigned
34285,,Unassigned
34286,,Unassigned
34287,,Unassigned
34288,,Unassigned
34289,,Unassigned
34290,,Unassigned
34291,,Unassigned
34292,,Unassigned
34293,,Unassigned
34294,,Unassigned
34295,,Unassigned
34296,,Unassigned
34297,,Unassigned
34298,,Unassigned
34299,,Unassigned
34300,,Unassigned
34301,,Unassigned
34302,,Unassigned
34303,,Unassigned
34304,,Unassigned
34305,,Unassigned
34306,,Unassigned
34307,,Unassigned
34308,,Unassigned
34309,,Unassigned
34310,,Unassigned
34311,,Unassigned
34312,,Unassigned
34313,,Unassigned
34314,,Unassigned
34315,,Unassigned
34316,,Unassigned
34317,,Unassigned
34318,,Unassigned
34319,,Unassigned
34320,,Unassigned
34321,,Unassigned
34322,,Unassigned
34323,,Unassigned
34324,,Unassigned
34325,,Unassigned
34326,,Unassigned
34327,,Unassigned
34328,,Unassigned
34329,,Unassigned
34330,,Unassigned
34331,,Unassigned
34332,,Unassigned
34333,,Unassigned
34334,,Unassigned
34335,,Unassigned
34336,,Unassigned
34337,,Unassigned
34338,,Unassigned
34339,,Unassigned
34340,,Unassigned
34341,,Unassigned
34342,,Unassigned
34343,,Unassigned
34344,,Unassigned
34345,,Unassigned
34346,,Unassigned
34347,,Unassigned
34348,,Unassigned
34349,,Unassigned
34350,,Unassigned
34351,,Unassigned
34352,,Unassigned
34353,,Unassigned
34354,,Unassigned
34355,,Unassigned
34356,,Unassigned
34357,,Unassigned
34358,,Unassigned
34359,,Unassigned
34360,,Unassigned
34361,,Unassigned
34362,,Unassigned
34363,,Unassigned
34364,,Unassigned
34365,,Unassigned
34366,,Unassigned
34367,,Unassigned
34368,,Unassigned
34369,,Unassigned
34370,,Unassigned
34371,,Unassigned
34372,,Unassigned
34373,,Unassigned
34374,,Unassigned
34375,,Unassigned
34376,,Unassigned
34377,,Unassigned
34378,p-net-local,P-Net on IP local
34379,p-net-remote,P-Net on IP remote
34380,,Unassigned
34381,,Unassigned
34382,,Unassigned
34383,,Unassigned
34384,,Unassigned
34385,,Unassigned
34386,,Unassigned
34387,,Unassigned
34388,,Unassigned
34389,,Unassigned
34390,,Unassigned
34391,,Unassigned
